timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-05 13:16:26,EGV,,6.3,,,47786.0
2025-12-05 13:21:27,EGV,,6.2,,,48087.0
2025-12-05 13:26:26,EGV,,6.4,,,48386.0
2025-12-05 13:31:26,EGV,,6.4,,,48686.0
2025-12-05 13:36:26,EGV,,6.5,,,48986.0
2025-12-05 13:41:26,EGV,,6.8,,,49286.0
2025-12-05 13:46:26,EGV,,7.0,,,49586.0
2025-12-05 13:51:26,EGV,,6.9,,,49886.0
2025-12-05 13:56:26,EGV,,6.6,,,50186.0
2025-12-05 14:01:26,EGV,,6.3,,,50486.0
2025-12-05 14:06:27,EGV,,6.3,,,50787.0
2025-12-05 14:11:26,EGV,,5.9,,,51086.0
2025-12-05 14:16:26,EGV,,5.2,,,51386.0
2025-12-05 14:21:26,EGV,,4.8,,,51686.0
2025-12-05 14:26:27,EGV,,4.4,,,51987.0
2025-12-05 14:31:27,EGV,,4.3,,,52287.0
2025-12-05 14:36:27,EGV,,4.6,,,52587.0
2025-12-05 14:41:27,EGV,,4.8,,,52887.0
2025-12-05 14:46:27,EGV,,5.1,,,53187.0
2025-12-05 14:51:28,EGV,,5.7,,,53488.0
2025-12-05 14:56:26,EGV,,6.1,,,53786.0
2025-12-05 15:01:26,EGV,,6.2,,,54086.0
2025-12-05 15:06:27,EGV,,6.0,,,54387.0
2025-12-05 15:11:26,EGV,,6.3,,,54686.0
2025-12-05 15:16:26,EGV,,6.5,,,54986.0
2025-12-05 15:21:27,EGV,,6.9,,,55287.0
2025-12-05 15:26:27,EGV,,6.4,,,55587.0
2025-12-05 15:31:26,EGV,,5.5,,,55886.0
2025-12-05 15:36:26,EGV,,5.2,,,56186.0
2025-12-05 15:41:26,EGV,,5.3,,,56486.0
2025-12-05 15:46:26,EGV,,5.5,,,56786.0
2025-12-05 15:51:26,EGV,,5.7,,,57086.0
2025-12-05 15:56:26,EGV,,5.8,,,57386.0
2025-12-05 16:01:26,EGV,,5.9,,,57686.0
2025-12-05 16:06:26,EGV,,5.6,,,57986.0
2025-12-05 16:11:26,EGV,,5.4,,,58286.0
2025-12-05 16:16:27,EGV,,5.2,,,58587.0
2025-12-05 16:21:27,EGV,,5.4,,,58887.0
2025-12-05 16:26:26,EGV,,5.7,,,59186.0
2025-12-05 16:31:26,EGV,,5.9,,,59486.0
2025-12-05 16:36:26,EGV,,6.2,,,59786.0
2025-12-05 16:41:26,EGV,,6.1,,,60086.0
2025-12-05 16:46:26,EGV,,6.2,,,60386.0
2025-12-05 16:51:27,EGV,,6.1,,,60687.0
2025-12-05 16:56:26,EGV,,6.0,,,60986.0
2025-12-05 17:01:26,EGV,,6.0,,,61286.0
2025-12-05 17:06:26,EGV,,6.0,,,61586.0
2025-12-05 17:11:26,EGV,,5.8,,,61886.0
2025-12-05 17:16:26,EGV,,5.7,,,62186.0
2025-12-05 17:21:26,EGV,,5.7,,,62486.0
2025-12-05 17:26:26,EGV,,5.7,,,62786.0
2025-12-05 17:31:26,EGV,,5.8,,,63086.0
2025-12-05 17:36:27,EGV,,5.7,,,63387.0
2025-12-05 17:41:26,EGV,,5.7,,,63686.0
2025-12-05 17:46:26,EGV,,5.8,,,63986.0
2025-12-05 17:51:26,EGV,,5.8,,,64286.0
2025-12-05 17:56:26,EGV,,5.7,,,64586.0
2025-12-05 18:01:26,EGV,,5.6,,,64886.0
2025-12-05 18:06:26,EGV,,5.7,,,65186.0
2025-12-05 18:11:26,EGV,,5.7,,,65486.0
2025-12-05 18:16:27,EGV,,5.7,,,65787.0
2025-12-05 18:21:26,EGV,,5.8,,,66086.0
2025-12-05 18:26:26,EGV,,5.7,,,66386.0
2025-12-05 18:31:26,EGV,,5.7,,,66686.0
2025-12-05 18:36:26,EGV,,5.8,,,66986.0
2025-12-05 18:41:26,EGV,,5.5,,,67286.0
2025-12-05 18:46:26,EGV,,5.4,,,67586.0
2025-12-05 18:51:26,EGV,,5.4,,,67886.0
2025-12-05 18:56:28,EGV,,5.3,,,68188.0
2025-12-05 19:01:26,EGV,,5.5,,,68486.0
2025-12-05 19:06:26,EGV,,5.8,,,68786.0
2025-12-05 19:11:25,EGV,,5.9,,,69085.0
2025-12-05 19:16:26,EGV,,6.0,,,69386.0
2025-12-05 19:21:26,EGV,,6.2,,,69686.0
2025-12-05 19:26:26,EGV,,6.2,,,69986.0
2025-12-05 19:31:26,EGV,,6.5,,,70286.0
2025-12-05 19:36:26,EGV,,6.7,,,70586.0
2025-12-05 19:41:26,EGV,,6.8,,,70886.0
2025-12-05 19:46:26,EGV,,7.2,,,71186.0
2025-12-05 19:51:26,EGV,,7.7,,,71486.0
2025-12-05 19:56:26,EGV,,7.6,,,71786.0
2025-12-05 20:01:26,EGV,,7.3,,,72086.0
2025-12-05 20:06:26,EGV,,7.2,,,72386.0
2025-12-05 20:11:26,EGV,,7.0,,,72686.0
2025-12-05 20:16:26,EGV,,7.1,,,72986.0
2025-12-05 20:21:26,EGV,,7.3,,,73286.0
2025-12-05 20:26:26,EGV,,7.4,,,73586.0
2025-12-05 20:31:26,EGV,,7.4,,,73886.0
2025-12-05 20:36:26,EGV,,7.4,,,74186.0
2025-12-05 20:41:26,EGV,,7.4,,,74486.0
2025-12-05 20:46:26,EGV,,7.0,,,74786.0
2025-12-05 20:51:26,EGV,,7.0,,,75086.0
2025-12-05 20:56:27,EGV,,6.9,,,75387.0
2025-12-05 21:01:26,EGV,,6.7,,,75686.0
2025-12-05 21:06:25,EGV,,6.5,,,75985.0
2025-12-05 21:11:26,EGV,,6.4,,,76286.0
2025-12-05 21:16:26,EGV,,5.7,,,76586.0
2025-12-05 21:21:26,EGV,,5.2,,,76886.0
2025-12-05 21:26:26,EGV,,4.9,,,77186.0
2025-12-05 21:31:26,EGV,,4.5,,,77486.0
2025-12-05 21:36:26,EGV,,5.0,,,77786.0
2025-12-05 21:41:25,EGV,,5.0,,,78085.0
2025-12-05 21:46:26,EGV,,5.2,,,78386.0
2025-12-05 21:51:26,EGV,,5.3,,,78686.0
2025-12-05 21:56:26,EGV,,5.0,,,78986.0
2025-12-05 22:01:26,EGV,,4.7,,,79286.0
2025-12-05 22:06:26,EGV,,4.5,,,79586.0
2025-12-05 22:11:26,EGV,,4.2,,,79886.0
2025-12-05 22:16:26,EGV,,4.5,,,80186.0
